file,district
S04A215_Addition_10.pdf,arwal
S04A161_Addition_10.pdf,banka
S04A144_Addition_12.pdf,begusarai
S04A152_Addition_9.pdf,bhagalpur
S04A154_Addition_13.pdf,bhagalpur
S04A155_Addition_13.pdf,bhagalpur
S04A155_Addition_9.pdf,bhagalpur
S04A157_Addition_10.pdf,bhagalpur
S04A157_Addition_9.pdf,bhagalpur
S04A196_Addition_12.pdf,bhojpur
S04A102_Addition_9.pdf,gopalganj
S04A217_Addition_10.pdf,jehanabad
S04A205_Addition_11.pdf,kaimur_bhabua
S04A053_Addition_13.pdf,kishanganj
S04A053_Addition_9.pdf,kishanganj
S04A039_Addition_10.pdf,madhubani
S04A172_Addition_10.pdf,nalanda
S04A172_Addition_11.pdf,nalanda
S04A172_Addition_13.pdf,nalanda
S04A174_Addition_11.pdf,nalanda
S04A174_Addition_9.pdf,nalanda
S04A177_Addition_13.pdf,nalanda
S04A237_Addition_12.pdf,nawada
S04A239_Addition_10.pdf,nawada
S04A239_Addition_12.pdf,nawada
S04A181_Addition_9.pdf,patna
S04A186_Addition_10.pdf,patna
S04A012_Addition_9.pdf,purvi_champaran
S04A016_Addition_9.pdf,purvi_champaran
S04A210_Addition_10.pdf,rohtas
S04A210_Addition_12.pdf,rohtas
S04A213_Addition_9.pdf,rohtas
S04A132_Addition_9.pdf,samastipur
S04A135_Addition_11.pdf,samastipur
S04A135_Addition_12.pdf,samastipur
S04A135_Addition_13.pdf,samastipur
S04A136_Addition_13.pdf,samastipur
S04A119_Addition_10.pdf,saran
S04A042_Addition_11.pdf,supaul
S04A042_Addition_12.pdf,supaul
S04A042_Addition_13.pdf,supaul
